연도,분기,월,수종,등급,가격_원_per_m3,source_pdf
2025,1,1,낙엽송,1등급,151600,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,낙엽송,2등급,148200,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,낙엽송,3등급,146400,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,낙엽송,원료재급,73000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,낙엽송,원주재급,138200,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,낙엽송,특용재급,167100,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,리기다소나무,1등급,106300,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,리기다소나무,2등급,104800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,리기다소나무,3등급,100800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,리기다소나무,원료재급,73000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,리기다소나무,원주재급,90700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,삼나무,2등급,134800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,삼나무,3등급,132300,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,소나무,1등급,207300,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,소나무,2등급,177500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,소나무,3등급,160900,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,소나무,원료재급,76400,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,소나무,원주재급,155500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,소나무,특용재급,365800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,잣나무,1등급,149400,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,잣나무,2등급,143100,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,잣나무,3등급,142800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,잣나무,원료재급,74700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,잣나무,원주재급,142300,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,잣나무,특용재급,167300,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,참나무류,1등급,113700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,참나무류,2등급,100000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,참나무류,3등급,85500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,참나무류,원료재급,74700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,편백,1등급,161600,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,편백,2등급,143600,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,1,편백,3등급,98800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,낙엽송,1등급,151800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,낙엽송,2등급,148400,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,낙엽송,3등급,146600,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,낙엽송,원료재급,73100,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,낙엽송,원주재급,138500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,낙엽송,특용재급,167400,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,리기다소나무,1등급,106500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,리기다소나무,2등급,105000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,리기다소나무,3등급,101000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,리기다소나무,원료재급,73100,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,리기다소나무,원주재급,90700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,삼나무,2등급,134800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,삼나무,3등급,132500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,소나무,1등급,207400,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,소나무,2등급,177500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,소나무,3등급,161000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,소나무,원료재급,76400,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,소나무,원주재급,155500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,소나무,특용재급,365900,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,잣나무,1등급,149700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,잣나무,2등급,143500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,잣나무,3등급,143200,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,잣나무,원료재급,75000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,잣나무,원주재급,142900,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,잣나무,특용재급,167500,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,참나무류,1등급,113900,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,참나무류,2등급,100300,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,참나무류,3등급,85600,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,참나무류,원료재급,74900,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,편백,1등급,161900,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,편백,2등급,144000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,2,편백,3등급,99200,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,낙엽송,1등급,152000,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,낙엽송,2등급,148700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,낙엽송,3등급,146900,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,낙엽송,원료재급,73100,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,낙엽송,원주재급,138700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,낙엽송,특용재급,167700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,리기다소나무,1등급,106800,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,리기다소나무,2등급,105200,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,리기다소나무,3등급,101100,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,리기다소나무,원료재급,73200,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,리기다소나무,원주재급,90700,2025년_1분기_원목시장가격조사_보고서.pdf
2025,1,3,삼나무,2등급,134800,2025년_1분기_원목시장가격조사_보고서.pdf
